"Label","ID","Spot N links","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," "," "," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","X","Y","Z"," "," "," "," "
"","","","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(µm)","",""
"77","77","2","2976.985852789819","21","2803.807987304946","840.4584313109029","765.0","4600.0","2953.0","1.0601198E7","168.85784187353738","69.03653624665581","183.87869558686162","2627.963190184049","5.0","4","33"
"78","78","2","3170.6617605465517","20","2996.969417347746","876.4484588172819","870.0","5629.0","3118.0","1.1367505E7","167.22811160998583","69.03653624665581","184.20464163957195","2842.75625","5.0","4","33"
"79","79","2","2981.2309412661684","19","2912.9920990255464","771.5761894069776","773.0","5000.0","2988.0","1.1060631E7","165.42640723358213","71.04134802373257","183.226803481441","2838.9814814814813","5.0","4","33"
"80","80","2","3723.771278524538","18","3627.1127243928195","843.8730193535602","1043.0","5851.0","3754.0","1.3739503E7","165.42640723358213","72.04375391227094","183.226803481441","3440.93125","5.0","4","33"
"81","81","2","3353.028617175764","17","3374.1853932584268","986.073549129512","1034.0","7564.0","3319.0","1.2612705E7","166.25355623056166","72.04375391227094","186.4862640085441","3293.2597402597403","5.0","4","33"
"82","82","2","3602.6249473434304","16","3434.3322809786896","1075.7487061441539","991.0","7549.0","3361.0","1.3053897E7","166.90544833598227","72.04375391227094","184.85653374499256","3234.787878787879","5.0","4","33"
"83","83","2","3212.717011592521","15","3236.130686300289","733.2411807552952","1069.0","5828.0","3261.0","1.2307005E7","163.9719338615895","72.04375391227094","187.13815611396473","3146.3024691358023","5.0","4","33"
"84","84","2","3113.815115726352","14","3076.373975138852","611.0630850968092","1243.0","5905.0","3054.0","1.163177E7","164.94977201972043","72.04375391227094","187.79004821938534","2913.6107784431138","5.0","4","33"
"85","85","2","3514.116030608264","13","3494.99604743083","898.2451703852213","1148.0","7395.0","3552.0","1.326351E7","168.20923254682353","72.04375391227094","184.85653374499256","3283.8658536585367","5.0","4","33"
"86","86","2","3804.507546543543","12","3632.0665785997357","1508.5778800566236","1132.0","9414.0","3514.0","1.3747372E7","168.4336248991973","71.54255096800175","188.1159942720957","3362.8993710691825","5.0","4","33"
"87","87","2","3939.0832891784244","11","3518.4613767735154","1470.9560733515907","1064.0","7920.0","3376.0","1.3391264E7","165.42640723358215","73.04615980080932","188.1159942720957","3216.673202614379","5.0","4","33"
"88","88","2","3690.806112210847","10","3646.460380348653","1340.010265990865","1202.0","9161.0","3479.0","1.3805499E7","165.75235328629248","72.04375391227093","185.18247979770285","3393.357575757576","5.0","4","33"
"89","89","2","4037.1645017853584","9","3900.747310417213","1163.6019062532516","1298.0","7818.0","3866.0","1.4865748E7","165.75235328629248","72.04375391227093","181.92301927059975","3529.7865853658536","5.0","4","33"
"90","90","2","3748.6619120763144","8","3490.863166268894","1312.4430645621128","676.0","7183.0","3535.0","1.3164045E7","167.38208354984403","72.04375391227093","181.59707321788943","3146.125","5.0","4","33"
"91","91","2","3537.7994645525378","7","3311.5389920424404","1598.0308236505568","628.0","7333.0","3646.0","1.2484502E7","168.08311111607958","70.54014507946336","180.61923505975852","3081.1455696202534","5.0","4","33"
"92","92","2","3357.881801908038","6","3153.3462149285338","1422.8890752268837","658.0","6281.0","3331.0","1.1913342E7","167.0807052275412","69.53773919092498","180.61923505975852","2985.2091503267975","5.0","4","33"
"93","93","2","3798.2301650431627","5","3706.9970876356897","1035.4466193520234","1232.0","7933.0","3738.0","1.4001328E7","164.799082858569","69.53773919092498","178.66355874349668","3424.5465838509317","5.0","4","33"
"94","94","2","3804.2650924640056","4","3697.835402906209","1002.8984243640867","1162.0","8157.0","3607.0","1.3996307E7","165.12502891127932","69.53773919092498","175.73004426910387","3483.9","5.0","4","33"
"95","95","2","3586.2110536666687","3","3366.247953525218","1217.5218322846251","938.0","7462.0","3490.0","1.2747981E7","165.56085870452063","71.51207885715971","178.7258185635975","3120.7870967741937","5.0","4","33"
"96","96","2","3446.804706377491","2","3432.94821664465","1079.1708409595747","1114.0","8023.0","3349.0","1.2993709E7","165.82212386417982","71.99233857560779","181.2222971423422","3242.8373493975905","5.0","4","33"
"97","97","2","4228.609100288179","1","4128.581012993901","1441.651217858327","1075.0","8880.0","3858.0","1.5568879E7","164.5183396533386","71.99233857560779","176.65905240439784","3781.778481012658","5.0","4","33"
"98","98","1","4320.540359559763","0","4065.7589947089946","1316.7557063558677","1308.0","9223.0","3808.0","1.5368569E7","165.17023175875923","71.99233857560779","174.37743003542568","3760.760736196319","5.0","4","33"
"99","99","1","4657.741461816566","32","4131.066912539515","1386.5428467513223","887.0","8501.0","4000.0","1.568153E7","212.20983455809252","90.08705990596184","143.80405043500505","3690.676646706587","5.0","2","33"
"100","100","2","2981.7531925087314","31","3051.246946362188","1079.3453950874057","1087.0","7866.0","2870.0","1.1490996E7","212.3359559888365","87.58104518461589","145.4337806985566","2976.2727272727275","5.0","2","33"
"101","101","2","2836.5318416059704","30","2829.524577167019","1089.245668469346","604.0","6850.0","2751.0","1.0706921E7","210.05433361986434","87.58104518461589","145.75972675126692","2766.795031055901","5.0","2","33"
"102","102","2","3345.2253506570614","29","3314.338951804056","1597.2144705729547","963.0","12038.0","2922.0","1.2584545E7","211.37858997682304","91.10468733476058","145.87081659420468","3196.813664596273","5.0","2","33"
"103","103","2","3321.6901157974903","28","3531.6246040126716","1505.0331358309088","1443.0","11324.0","3156.0","1.3377794E7","208.96625191506214","90.61300601793201","145.19817121541715","3328.086956521739","5.0","2","33"
"104","104","2","2702.128483389344","27","2855.2204329461456","1073.0451340774189","1382.0","12101.0","2534.0","1.0815575E7","209.993225534008","90.11180307366281","147.80573963709963","2801.1807228915663","5.0","2","33"
"105","105","2","3554.2888303029217","26","3609.4829770387964","1372.5267727284563","1891.0","11088.0","3203.0","1.3676331E7","209.993225534008","92.61781779500876","147.80573963709963","3467.672727272727","5.0","2","33"
"106","106","2","3423.0567060544663","25","3576.2447201689547","1194.0453509024358","2001.0","9327.0","3174.0","1.3546815E7","209.993225534008","91.11420896220119","147.80573963709963","3528.2095808383233","5.0","2","33"
"107","107","2","3892.9255962700895","24","3931.2588483888007","1425.5443492801214","1069.0","12599.0","3688.0","1.4883746E7","207.7116031650358","91.11420896220119","146.8279014789687","3710.8025477707006","5.0","2","33"
"108","108","2","3662.1717304157805","23","3739.2385272145143","1488.1850147228145","1080.0","10116.0","3352.0","1.4014666E7","209.66727948129767","91.11420896220119","147.47979358438934","3623.640243902439","5.0","2","33"
"109","109","2","3946.1428470439137","22","3824.642705005325","1284.0031862472033","1256.0","9116.0","3531.0","1.4365358E7","210.6451176394286","91.11420896220119","146.50195542625838","3608.173076923077","5.0","2","33"
"110","110","2","4290.411725366455","21","3931.8274044795785","1306.2302134661943","1149.0","7445.0","3868.0","1.4921285E7","210.90721392867917","94.10998325669482","146.17600937354808","3634.16","5.0","2","33"
"111","111","2","4853.605742640821","20","4330.201961304002","1428.9678571701395","1199.0","9727.0","4301.0","1.6337852E7","210.92939978762342","94.07952566101343","143.65145404533342","3808.339393939394","5.0","2","33"
"112","112","2","4332.59494234948","19","3773.726671953476","1641.3473115680436","774.0","9075.0","3734.0","1.4276008E7","212.55913005117498","94.07952566101343","146.2590224670159","3408.375","5.0","2","33"
"113","113","2","3979.6506983497425","18","3907.4969632954844","1544.4355549830452","1827.0","12373.0","3509.0","1.4797691E7","214.73850646183385","93.06759088745413","146.75831818276484","3805.58125","5.0","2","33"
"114","114","2","3111.9291110925424","17","2970.184676354029","958.984503518813","986.0","7306.0","2937.0","1.1242149E7","213.7361005732955","93.06759088745413","146.75831818276484","2780.39263803681","5.0","2","33"
"115","115","2","3327.359896733112","16","3007.929477020602","1373.8692755522886","614.0","8926.0","2883.0","1.1388021E7","213.23489762902628","92.56638794318494","146.75831818276484","2699.9937888198756","5.0","2","33"
"116","116","2","3516.292623360541","15","3338.8879788639365","1379.0005619345511","767.0","7563.0","3271.0","1.2637691E7","210.6273292073438","92.56638794318494","145.1285879192133","3081.830188679245","5.0","2","33"
"117","117","2","3264.998221865245","14","3029.2891470821232","966.0425239355451","734.0","7335.0","2997.0","1.1471918E7","208.3457068383716","92.56638794318494","150.9956168679989","2766.1840490797545","5.0","2","33"
"118","118","2","2876.875610588606","13","2714.533880359979","673.5923122834838","898.0","5582.0","2854.0","1.0255509E7","209.84931567117917","92.56638794318494","150.9956168679989","2518.306748466258","5.0","2","33"
